Symptom,Variation,Patient Description
ear pain,2,"“It’s just… this really sharp pain in my ear. It started a couple of days ago, and it’s gotten worse. Like a throbbing, and sometimes it feels like something’s pushing in.”"
ear pain,3,"“It’s just… this really awful ache in my ear. It’s like a pressure, but it’s sharp sometimes, and it gets worse when I tilt my head. It’s been going on for about three days, and it’s not getting better.”"
ear pain,4,"“It’s just…a really dull ache in my ear. Like a pressure, mostly, but sometimes it spikes up and it’s quite sharp. It’s mostly on the left side, and it feels like it’s throbbing a little.”"
jaw swelling,1,"“It’s just… this thing in my jaw. It’s gotten really swollen, and it’s painful to open my mouth. It feels like there’s something there, pushing out.”"
jaw swelling,2,"“It’s just… my jaw feels so full, you know? Like it’s swollen, and it’s really painful to open my mouth wide. It started a few days ago, and it’s getting noticeably bigger.”"
jaw swelling,3,"“It’s just… this thing in my jaw. It feels like it’s getting bigger, and it’s really painful to move it. It’s puffy, you know? Like it’s swollen.”"
jaw swelling,4,"“It’s just… this thing in my jaw. It feels like it’s getting bigger, really puffy. It’s hard to open my mouth properly, and it’s just… uncomfortable.”"
mouth dryness,1,"“It’s just… my mouth feels constantly dry. Like, all the time. Even after I drink water, it’s still really dry. It’s starting to bother me, especially when I’m trying to talk.”"
mouth dryness,2,"“It’s just… my mouth feels constantly dry. Like, all the time. Even after I drink water, it’s still there. It’s really bothering me, especially when I’m trying to talk.”"
mouth dryness,3,"“It’s just… my mouth feels really, really tight most of the time. Like it’s constantly sticky, and I’m always having to drink water just to get some relief.”"
mouth dryness,4,"“It’s just… really dry. Like, constantly. My mouth feels like there’s sandpaper in it all the time, even when I drink water. It’s particularly bad in the evenings.”"
neck swelling,1,"“It’s just… this area here, right around my collarbone, it’s gotten really puffy. Like, noticeably swollen. It feels kind of tight, too, when I move my arm.”"
neck swelling,2,"“It’s just… this really weird tightness in my neck. It feels like it’s swelling up, especially in the mornings. It’s not painful, just… full.”"
neck swelling,3,"“It’s just… this area here, right around my collarbone, it’s gotten really puffy. Like, it feels like it’s swelling, and it’s hard to get a shirt button past it.”"
neck swelling,4,"“It’s just…this area here, right around my collarbone, it’s gotten really puffy. Like, noticeably bigger. It’s not painful, just…full.”"
knee pain,1,"“It’s just… my knee. It’s been bothering me for about three weeks now. It swells up after I’ve been walking, and it’s really stiff in the mornings. Sometimes it’s just a dull ache, but other times it’s sharp, especially if I try to go up the stairs.”"
knee pain,2,"“It’s just… this constant ache in my knee. It’s worse after I’ve been on my feet for a while, and it feels like it’s getting tighter, almost like it’s locking up sometimes.”"
knee pain,3,"“It’s just… my leg. It’s been bothering me more and more lately. Especially when I’ve been on my feet a long time, or going up and down stairs. It’s a sort of ache, and it gets worse if I try to walk further.”"
knee pain,4,"“It’s just… this ache in my knee. It’s been getting worse, especially after I’ve been walking around the garden. It’s a dull, throbbing kind of pain, and it gets sharper if I put any weight on it.”"
foot or toe pain,1,"“It’s just… this aching in my foot. Mostly my little toe, really. It’s not constant, but it comes and goes, and it gets worse after I’ve been standing for a while.”"
foot or toe pain,2,"“It’s just… this persistent ache in my foot. It’s mostly in my little toe, really sensitive to pressure, and it feels like it’s constantly throbbing, especially after I’ve been standing for a while.”"
foot or toe pain,3,"It’s just… this aching, you know? Like a constant throb, especially in my left foot. It gets worse after I’ve been on my feet all day, and sometimes it shoots up into my toes."
foot or toe pain,4,"“It’s just… this aching. Mostly in my foot, you know? Like a constant throb, particularly after I’ve been on my feet a lot. It gets worse at night sometimes, too.”"
bowlegged or knock-kneed,1,"“It’s just… my legs look a little off, you know? Like, when I stand really still, they kind of angle outwards a bit. It’s not hugely noticeable, but my wife has pointed it out a few times, and I’ve started to notice it myself.”"
bowlegged or knock-kneed,2,"“It’s just… my legs look a little off, you know? Like I’m walking with my feet turned out a bit. Sometimes it seems more like I’m leaning forward, almost knock-kneed, and other times it feels like I’m really out to the side. It’s not constant, but I’ve noticed it more lately.”"
bowlegged or knock-kneed,3,"“It’s just… my legs aren’t quite straight, you know? They look a little off, like I’m walking with a slight angle. It’s been getting worse lately, and honestly, it’s starting to bother me.”"
bowlegged or knock-kneed,4,"“It’s just… my legs aren’t straight, you know? They kind of slant outwards a lot, especially when I’m standing still. It’s gotten worse over the last few months, and honestly, it’s starting to bother me because I feel like I’m walking funny.”"
